SKU,Brand,Product Name,Category,ADL Price,MEL Price,Price Difference,ADL packaging,MEL packaging,ADL Specials,MEL Specials,Same Specials,ADL Suppliers,MEL Suppliers
37617P,Peroni,Nastro Azzurro Bottle 330mL,Liquor,19.0,18.0,1.0,6 Pack,6 Pack,,,True,"['963979 MAX LIQUOR SUPPLIES', '342483 FESTIVAL CITY WINE & SPIRIT P/L', '737071 GLOBAL LIQUOR P/L', '388106 PISCONERI FINE FOODS & WINES', '720259 COMBINED WINES & FOODS', '735787 ALEPAT TAYLOR', '722642 COCA-COLA AMATIL (AUST) P/L']","['963979 MAX LIQUOR SUPPLIES', '342483 FESTIVAL CITY WINE & SPIRIT P/L', '737071 GLOBAL LIQUOR P/L', '388106 PISCONERI FINE FOODS & WINES', '720259 COMBINED WINES & FOODS', '735787 ALEPAT TAYLOR', '722642 COCA-COLA AMATIL (AUST) P/L']"
3535060P,Nexba,Pineapple Flavoured Sparkling Infusion,Summer Entertaining,1.32,1.25,0.07000000000000006,1L,1L,$pecials,$pecials,True,['971978 NEXBA'],['971978 NEXBA']
3270238P,Schweppes,Zero Sugar Lemonade,Summer Entertaining,1.7,1.6,0.09999999999999987,1.1L,1.1L,$pecials,$pecials,True,['44059 ASAHI BEVERAGES PTY LTD'],['44059 ASAHI BEVERAGES PTY LTD']
3531910P,Coles,Wildberry Sports Drink,Drinks,1.85,1.75,0.10000000000000009,750mL,750mL,,,True,['938357 STERIC TRADING P/L PRIVATE LABEL'],['938357 STERIC TRADING P/L PRIVATE LABEL']
479622P,Ruski,Lemon Bottle 275mL,Summer Entertaining,19.5,18.5,1.0,4 Pack,4 Pack,,,True,"['804247 VOK BEVERAGES P/L', '47651 DIAGEO AUST LTD', '963979 MAX LIQUOR SUPPLIES', '12947 G.H.P.L.', '957839 (BS) VOK BEVERAGES P/L']","['804247 VOK BEVERAGES P/L', '47651 DIAGEO AUST LTD', '963979 MAX LIQUOR SUPPLIES', '12947 G.H.P.L.', '957839 (BS) VOK BEVERAGES P/L']"
2027427P,Bundaberg,Apple Cider Multipack Bottles 375mL,Drinks,6.1,5.7,0.39999999999999947,4 pack,4 pack,,,True,['427551 BUNDABERG BREWED DRINKS'],['427551 BUNDABERG BREWED DRINKS']
93646P,Madura,Premium Blend Tea Bags 50 pack,Pantry,4.65,4.95,0.2999999999999998,100g,100g,,,True,['408492 MADURA TEA ESTATES'],['408492 MADURA TEA ESTATES']
465793P,Little Creatures,Pale Ale Bottle 330mL,Liquor,24.5,23.5,1.0,6 Pack,6 Pack,,,True,"['254762 THE SOUTH AUST BREWING CO P/L', '42196 THE SWAN BREWERY CO P/L', '169871 CASTLEMAINE PERKINS LTD', '802846 LITTLE CREATURES BREWING P/L', '710911 LION NATHAN VICTORIA P/L (BEER)', '963979 MAX LIQUOR SUPPLIES', '47082 TOOHEYS P/L', '975969 LION-BEER SPIRITS & WINE PTY LTD']","['254762 THE SOUTH AUST BREWING CO P/L', '42196 THE SWAN BREWERY CO P/L', '169871 CASTLEMAINE PERKINS LTD', '802846 LITTLE CREATURES BREWING P/L', '710911 LION NATHAN VICTORIA P/L (BEER)', '963979 MAX LIQUOR SUPPLIES', '47082 TOOHEYS P/L', '975969 LION-BEER SPIRITS & WINE PTY LTD']"
5288234P,Jack Daniels,& Cola Can 375mL,Liquor,106.0,104.0,2.0,24 Pack,24 Pack,,,True,"['710105 BROWN-FORMAN', '963979 MAX LIQUOR SUPPLIES']","['710105 BROWN-FORMAN', '963979 MAX LIQUOR SUPPLIES']"
3585567P,Coca-Cola,No Sugar Soft Drink Sprite,Drinks,1.3,1.25,0.050000000000000044,1.25L,1.25L,$pecials,$pecials,True,"['10383 COCA-COLA AMATIL (AUST) P/L', '931859 COCA COLA AMATIL AUST P/L (GHPL)', '800825 DELETED LINE SUPPLIER', '931858 COCA COLA AMATIL AUST P/L (DIREC', '37079 LACTALIS AUSTRALIA P/L', '722642 COCA-COLA AMATIL (AUST) P/L', '800144 PARMALAT AUST LTD']","['10383 COCA-COLA AMATIL (AUST) P/L', '931859 COCA COLA AMATIL AUST P/L (GHPL)', '800825 DELETED LINE SUPPLIER', '931858 COCA COLA AMATIL AUST P/L (DIREC', '37079 LACTALIS AUSTRALIA P/L', '722642 COCA-COLA AMATIL (AUST) P/L', '800144 PARMALAT AUST LTD']"
