SKU,Brand,Product Name,Category,ADL Price,ADL Suppliers
3537917P,Revlon,Colorstay Enigma Eye Shadow Palette 920,Health & Beauty,20.0,['38083 REVLON AUST P/L']
3788906P,Coles,Leave-In Treatment,Health & Beauty,6.0,['931394 AWARE ENVIRONMENTAL PRODUCTS P/L']
3898573P,Keept It Cleaner,Nut Butter Filled Balls Hazelnut Brownie & Almond Butter Filling,Back to School,2.6,['974286 METRO FOOD CO PTY LTD']
3727719P,Willow,Small Gel Ice Pack,Household,10.0,['300063 THE DECOR CORP P/L (LOCAL)']
3566609P,Reef,Sun Tan Coconut Oil Spray Spf 30,Health & Beauty,8.0,"['974294 INOVA PHARMACEUTICALS PTY LTD', '967228 INOVA PHARMACEUTICALS']"
5171463P,Korbond,Navy Poly Thread 160m,Household,2.4,['25437 KORBOND IND P/L (CROSS DOCK)']
8288300P,Coles Deli,Castello Blue Cheese,Summer Entertaining,4.86,"['283215 F MAYER IMPORTS P/L', '970489 F MAYER (IMPORTS) PTY LTD', '966222 MANASSEN FOODS AUST P/L (RANDOM', '971487 ARLA FOODS MAYER AUSTRALIA', '32077 MANASSEN FOODS AUST P/L']"
3610937P,Palmolive,Luminous Oils Rose Petal Oil & Bamboo Shampoo,Health & Beauty,6.0,['51977 COLGATE PALMOLIVE P/L']
7465330P,Aveeno,Stress Relief Moisturising Lotion,Health & Beauty,10.4,['24058 JOHNSON & JOHNSON PACIFIC P/L']
2741929P,Coles,Free Range Pork Belly Roast Boneless,Meat & Seafood,31.25,['969643 COLES MT PROD - C9657MT - LIN']
3721097P,Audeeo,Kids Rockin Headphones Assorted,Household,20.0,['970271 UCC Australia Pty Ltd']
3475059P,Birds Eye,Frozen Broccoli & Cauliflower Rice,Frozen,4.2,['14729 SIMPLOT AUST P/L']
3258593P,Coles,Made Easy Moroccan Lamb Filo Rolls With Fetta & Pumpkin,Meat & Seafood,10.0,"['968926 CHEF FRESH PTY LTD', '979047 CHEF FRESH PTY LTD (JFF) (CB)']"
2474980P,Atkins,Advantage Cookies & Cream Bar,Pantry,12.0,['954463 SIMPLY GOOD FOODS AUSTRALIA P/L']
3741265P,Tradie,Mens Acrylic Work Socks 11-13 Flu,Household,10.0,['943263 UNDERWORKS PTY LTD (X-DOCK)']
3702263P,Rimmel,Wonder'luxe Volume Mascara Brown Black,Health & Beauty,21.0,['975672 COSMETIC SUPPLIERS PTY LTD']
3809835P,Maseur,Men's Heel and Arch Support,Household,14.8,"[""37664 MCPHERSON'S CONSUMER PROD P/L HO""]"
3720673P,Applewood,Australian Gin 500mL,Liquor,70.0,['963979 MAX LIQUOR SUPPLIES']
3582875P,Hudson's,Jackfruit Massaman Curry,Pantry,3.0,"['944438 SCALZO FOOD IND (GROC)', '975271 SCALZO FOOD INDUSTRIES(CB)(CD)', '965928 SCALZO FOOD INDS (GROC) (HOUSEBR']"
